level, filename, bpp, mse, numpixel
0.00, kodak/kodim03.png, 0.0992, 65.1931, 393216.00
0.00, kodak/kodim08.png, 0.2921, 234.1591, 393216.00
0.00, kodak/kodim21.png, 0.1663, 139.8776, 393216.00
0.00, kodak/kodim18.png, 0.1975, 184.0954, 393216.00
0.00, kodak/kodim15.png, 0.1264, 83.1392, 393216.00
0.00, kodak/kodim09.png, 0.1159, 72.6915, 393216.00
0.00, kodak/kodim17.png, 0.1296, 90.8140, 393216.00
0.00, kodak/kodim20.png, 0.1256, 75.9802, 393216.00
0.00, kodak/kodim12.png, 0.1098, 70.2083, 393216.00
0.00, kodak/kodim22.png, 0.1418, 122.7175, 393216.00
0.00, kodak/kodim19.png, 0.1332, 109.1331, 393216.00
0.00, kodak/kodim02.png, 0.1140, 81.2141, 393216.00
0.00, kodak/kodim10.png, 0.1176, 81.8174, 393216.00
0.00, kodak/kodim05.png, 0.2757, 222.9686, 393216.00
0.00, kodak/kodim23.png, 0.1090, 53.9139, 393216.00
0.00, kodak/kodim11.png, 0.1537, 129.6157, 393216.00
0.00, kodak/kodim24.png, 0.2020, 192.8710, 393216.00
0.00, kodak/kodim01.png, 0.2163, 209.4029, 393216.00
0.00, kodak/kodim04.png, 0.1210, 89.2930, 393216.00
0.00, kodak/kodim14.png, 0.1915, 172.3875, 393216.00
0.00, kodak/kodim13.png, 0.2901, 316.6825, 393216.00
0.00, kodak/kodim06.png, 0.1725, 156.1329, 393216.00
0.00, kodak/kodim16.png, 0.1084, 97.3893, 393216.00
0.00, kodak/kodim07.png, 0.1425, 87.6687, 393216.00
1.00, kodak/kodim03.png, 0.1425, 44.5766, 393216.00
1.00, kodak/kodim08.png, 0.4220, 154.1826, 393216.00
1.00, kodak/kodim21.png, 0.2503, 93.7924, 393216.00
1.00, kodak/kodim18.png, 0.3062, 125.7439, 393216.00
1.00, kodak/kodim15.png, 0.1761, 60.5535, 393216.00
1.00, kodak/kodim09.png, 0.1609, 48.3100, 393216.00
1.00, kodak/kodim17.png, 0.1868, 60.5583, 393216.00
1.00, kodak/kodim20.png, 0.1765, 54.4214, 393216.00
1.00, kodak/kodim12.png, 0.1548, 49.3143, 393216.00
1.00, kodak/kodim22.png, 0.2199, 89.7385, 393216.00
1.00, kodak/kodim19.png, 0.1994, 76.2807, 393216.00
1.00, kodak/kodim02.png, 0.1615, 60.8377, 393216.00
1.00, kodak/kodim10.png, 0.1690, 54.6125, 393216.00
1.00, kodak/kodim05.png, 0.4088, 141.6723, 393216.00
1.00, kodak/kodim23.png, 0.1449, 36.9270, 393216.00
1.00, kodak/kodim11.png, 0.2328, 89.6078, 393216.00
1.00, kodak/kodim24.png, 0.3128, 128.1475, 393216.00
1.00, kodak/kodim01.png, 0.3466, 141.1835, 393216.00
1.00, kodak/kodim04.png, 0.1766, 63.0396, 393216.00
1.00, kodak/kodim14.png, 0.2936, 117.8008, 393216.00
1.00, kodak/kodim13.png, 0.4713, 215.4932, 393216.00
1.00, kodak/kodim06.png, 0.2679, 104.9070, 393216.00
1.00, kodak/kodim16.png, 0.1670, 68.5046, 393216.00
1.00, kodak/kodim07.png, 0.2016, 55.7365, 393216.00
2.00, kodak/kodim03.png, 0.2091, 27.8428, 393216.00
2.00, kodak/kodim08.png, 0.6157, 97.8002, 393216.00
2.00, kodak/kodim21.png, 0.3772, 59.0865, 393216.00
2.00, kodak/kodim18.png, 0.4692, 80.0658, 393216.00
2.00, kodak/kodim15.png, 0.2560, 41.6085, 393216.00
2.00, kodak/kodim09.png, 0.2233, 31.7878, 393216.00
2.00, kodak/kodim17.png, 0.2696, 40.2894, 393216.00
2.00, kodak/kodim20.png, 0.2524, 36.1220, 393216.00
2.00, kodak/kodim12.png, 0.2220, 33.1609, 393216.00
2.00, kodak/kodim22.png, 0.3436, 60.0427, 393216.00
2.00, kodak/kodim19.png, 0.3035, 51.7129, 393216.00
2.00, kodak/kodim02.png, 0.2437, 42.7325, 393216.00
2.00, kodak/kodim10.png, 0.2412, 35.8805, 393216.00
2.00, kodak/kodim05.png, 0.6035, 85.6591, 393216.00
2.00, kodak/kodim23.png, 0.1970, 24.5199, 393216.00
2.00, kodak/kodim11.png, 0.3569, 59.0603, 393216.00
2.00, kodak/kodim24.png, 0.4738, 80.3830, 393216.00
2.00, kodak/kodim01.png, 0.5452, 89.3777, 393216.00
2.00, kodak/kodim04.png, 0.2591, 43.4558, 393216.00
2.00, kodak/kodim14.png, 0.4509, 76.7021, 393216.00
2.00, kodak/kodim13.png, 0.7367, 136.2106, 393216.00
2.00, kodak/kodim06.png, 0.4120, 66.3380, 393216.00
2.00, kodak/kodim16.png, 0.2616, 44.8348, 393216.00
2.00, kodak/kodim07.png, 0.2839, 34.6830, 393216.00
3.00, kodak/kodim03.png, 0.2983, 17.7058, 393216.00
3.00, kodak/kodim08.png, 0.8795, 60.6933, 393216.00
3.00, kodak/kodim21.png, 0.5421, 37.0535, 393216.00
3.00, kodak/kodim18.png, 0.6873, 49.9226, 393216.00
3.00, kodak/kodim15.png, 0.3700, 27.8375, 393216.00
3.00, kodak/kodim09.png, 0.3098, 20.8552, 393216.00
3.00, kodak/kodim17.png, 0.3870, 26.0331, 393216.00
3.00, kodak/kodim20.png, 0.3607, 24.1218, 393216.00
3.00, kodak/kodim12.png, 0.3235, 22.4776, 393216.00
3.00, kodak/kodim22.png, 0.5240, 39.1352, 393216.00
3.00, kodak/kodim19.png, 0.4596, 34.0866, 393216.00
3.00, kodak/kodim02.png, 0.3703, 29.4584, 393216.00
3.00, kodak/kodim10.png, 0.3412, 23.2368, 393216.00
3.00, kodak/kodim05.png, 0.8484, 51.6676, 393216.00
3.00, kodak/kodim23.png, 0.2629, 16.8357, 393216.00
3.00, kodak/kodim11.png, 0.5375, 37.3324, 393216.00
3.00, kodak/kodim24.png, 0.6920, 48.5560, 393216.00
3.00, kodak/kodim01.png, 0.8126, 54.2705, 393216.00
3.00, kodak/kodim04.png, 0.3822, 29.2681, 393216.00
3.00, kodak/kodim14.png, 0.6747, 47.9229, 393216.00
3.00, kodak/kodim13.png, 1.0974, 80.7480, 393216.00
3.00, kodak/kodim06.png, 0.6121, 40.7875, 393216.00
3.00, kodak/kodim16.png, 0.4044, 28.1909, 393216.00
3.00, kodak/kodim07.png, 0.3903, 21.4787, 393216.00
4.00, kodak/kodim03.png, 0.4186, 11.6412, 393216.00
4.00, kodak/kodim08.png, 1.2331, 36.3458, 393216.00
4.00, kodak/kodim21.png, 0.7613, 23.0160, 393216.00
4.00, kodak/kodim18.png, 0.9669, 31.2068, 393216.00
4.00, kodak/kodim15.png, 0.5355, 18.2566, 393216.00
4.00, kodak/kodim09.png, 0.4304, 13.9020, 393216.00
4.00, kodak/kodim17.png, 0.5509, 16.5382, 393216.00
4.00, kodak/kodim20.png, 0.5066, 15.7394, 393216.00
4.00, kodak/kodim12.png, 0.4719, 14.9834, 393216.00
4.00, kodak/kodim22.png, 0.7682, 25.1202, 393216.00
4.00, kodak/kodim19.png, 0.6779, 21.6528, 393216.00
4.00, kodak/kodim02.png, 0.5618, 20.2112, 393216.00
4.00, kodak/kodim10.png, 0.4760, 15.2163, 393216.00
4.00, kodak/kodim05.png, 1.1562, 31.4665, 393216.00
4.00, kodak/kodim23.png, 0.3523, 12.0056, 393216.00
4.00, kodak/kodim11.png, 0.7831, 22.9399, 393216.00
4.00, kodak/kodim24.png, 0.9684, 29.5704, 393216.00
4.00, kodak/kodim01.png, 1.1571, 32.1474, 393216.00
4.00, kodak/kodim04.png, 0.5621, 18.8669, 393216.00
4.00, kodak/kodim14.png, 0.9797, 29.0451, 393216.00
4.00, kodak/kodim13.png, 1.5359, 46.5340, 393216.00
4.00, kodak/kodim06.png, 0.8769, 24.3760, 393216.00
4.00, kodak/kodim16.png, 0.6022, 17.3883, 393216.00
4.00, kodak/kodim07.png, 0.5321, 13.9609, 393216.00
5.00, kodak/kodim03.png, 0.5738, 7.6044, 393216.00
5.00, kodak/kodim08.png, 1.6546, 21.9464, 393216.00
5.00, kodak/kodim21.png, 1.0261, 14.3295, 393216.00
5.00, kodak/kodim18.png, 1.3082, 20.5346, 393216.00
5.00, kodak/kodim15.png, 0.7589, 11.9569, 393216.00
5.00, kodak/kodim09.png, 0.5829, 9.6519, 393216.00
5.00, kodak/kodim17.png, 0.7611, 10.9275, 393216.00
5.00, kodak/kodim20.png, 0.6954, 10.4066, 393216.00
5.00, kodak/kodim12.png, 0.6751, 9.8342, 393216.00
5.00, kodak/kodim22.png, 1.0749, 16.2210, 393216.00
5.00, kodak/kodim19.png, 0.9591, 13.5472, 393216.00
5.00, kodak/kodim02.png, 0.8277, 13.3052, 393216.00
5.00, kodak/kodim10.png, 0.6619, 10.3736, 393216.00
5.00, kodak/kodim05.png, 1.5339, 19.1257, 393216.00
5.00, kodak/kodim23.png, 0.4736, 8.6743, 393216.00
5.00, kodak/kodim11.png, 1.0990, 13.9561, 393216.00
5.00, kodak/kodim24.png, 1.2996, 18.7531, 393216.00
5.00, kodak/kodim01.png, 1.5780, 18.4747, 393216.00
5.00, kodak/kodim04.png, 0.8051, 12.4511, 393216.00
5.00, kodak/kodim14.png, 1.3517, 17.6943, 393216.00
5.00, kodak/kodim13.png, 2.0103, 27.6506, 393216.00
5.00, kodak/kodim06.png, 1.1988, 14.5248, 393216.00
5.00, kodak/kodim16.png, 0.8542, 10.5596, 393216.00
5.00, kodak/kodim07.png, 0.7072, 9.0404, 393216.00
6.00, kodak/kodim03.png, 0.7671, 5.2678, 393216.00
6.00, kodak/kodim08.png, 2.1126, 14.1961, 393216.00
6.00, kodak/kodim21.png, 1.3314, 9.5336, 393216.00
6.00, kodak/kodim18.png, 1.7288, 14.2363, 393216.00
6.00, kodak/kodim15.png, 1.0423, 8.0336, 393216.00
6.00, kodak/kodim09.png, 0.8120, 6.8399, 393216.00
6.00, kodak/kodim17.png, 1.0438, 7.3420, 393216.00
6.00, kodak/kodim20.png, 0.9297, 7.3771, 393216.00
6.00, kodak/kodim12.png, 0.9467, 6.4976, 393216.00
6.00, kodak/kodim22.png, 1.4448, 11.0159, 393216.00
6.00, kodak/kodim19.png, 1.2918, 8.8569, 393216.00
6.00, kodak/kodim02.png, 1.1869, 8.8678, 393216.00
6.00, kodak/kodim10.png, 0.9203, 7.1246, 393216.00
6.00, kodak/kodim05.png, 1.9623, 12.2958, 393216.00
6.00, kodak/kodim23.png, 0.6473, 6.5375, 393216.00
6.00, kodak/kodim11.png, 1.4696, 8.7901, 393216.00
6.00, kodak/kodim24.png, 1.6820, 12.7681, 393216.00
6.00, kodak/kodim01.png, 2.0271, 11.1155, 393216.00
6.00, kodak/kodim04.png, 1.1255, 8.0660, 393216.00
6.00, kodak/kodim14.png, 1.7771, 11.3876, 393216.00
6.00, kodak/kodim13.png, 2.4853, 18.1039, 393216.00
6.00, kodak/kodim06.png, 1.5642, 9.1188, 393216.00
6.00, kodak/kodim16.png, 1.1599, 6.5741, 393216.00
6.00, kodak/kodim07.png, 0.9266, 6.2466, 393216.00
7.00, kodak/kodim03.png, 0.9945, 4.0261, 393216.00
7.00, kodak/kodim08.png, 2.5483, 10.3879, 393216.00
7.00, kodak/kodim21.png, 1.6867, 7.0917, 393216.00
7.00, kodak/kodim18.png, 2.1812, 10.8151, 393216.00
7.00, kodak/kodim15.png, 1.3593, 6.0635, 393216.00
7.00, kodak/kodim09.png, 1.1534, 5.0709, 393216.00
7.00, kodak/kodim17.png, 1.3819, 5.3351, 393216.00
7.00, kodak/kodim20.png, 1.1893, 5.6859, 393216.00
7.00, kodak/kodim12.png, 1.2846, 4.6266, 393216.00
7.00, kodak/kodim22.png, 1.8457, 8.2717, 393216.00
7.00, kodak/kodim19.png, 1.6475, 6.3760, 393216.00
7.00, kodak/kodim02.png, 1.5815, 6.4807, 393216.00
7.00, kodak/kodim10.png, 1.2809, 5.1970, 393216.00
7.00, kodak/kodim05.png, 2.3752, 9.0477, 393216.00
7.00, kodak/kodim23.png, 0.8953, 5.2033, 393216.00
7.00, kodak/kodim11.png, 1.8529, 6.1867, 393216.00
7.00, kodak/kodim24.png, 2.0779, 9.7920, 393216.00
7.00, kodak/kodim01.png, 2.4598, 7.5853, 393216.00
7.00, kodak/kodim04.png, 1.4846, 5.6964, 393216.00
7.00, kodak/kodim14.png, 2.2039, 8.2794, 393216.00
7.00, kodak/kodim13.png, 2.9159, 13.6584, 393216.00
7.00, kodak/kodim06.png, 1.9407, 6.3800, 393216.00
7.00, kodak/kodim16.png, 1.4909, 4.4989, 393216.00
7.00, kodak/kodim07.png, 1.1714, 4.7926, 393216.00
